Region,Soil_Type,Soil_pH,Rainfall_mm,Temperature_C,Humidity_pct,Fertilizer_Used_kg,Irrigation,Pesticides_Used_kg,Planting_Density,Previous_Crop,Yield_ton_per_ha
Region_C,Sandy,7.01,1485.4,19.7,40.3,105.1,Drip,10.2,23.2,Rice,101.48
Region_D,Loam,6.79,1054.3,26.4,62.0,257.8,Drip,42.7,23.7,No_Previous_Crop,169.06
Region_D,Sandy,5.96,744.6,20.4,70.9,195.8,Drip,25.5,15.6,Maize,118.71
Region_C,Loam,6.94,846.1,32.4,86.6,263.2,Rainfed,7.4,21.5,Wheat,162.2
Region_C,Loam,6.67,209.5,18.3,42.7,219.5,Flood,20.6,17.2,No_Previous_Crop,116.72
Region_A,Clay,6.12,362.5,26.6,38.8,149.2,Sprinkler,28.5,18.8,No_Previous_Crop,95.23
Region_D,Sandy,7.5,1443.0,19.6,31.1,84.1,Flood,45.9,16.2,Wheat,90.56
Region_C,Clay,7.0,1193.3,33.7,43.9,122.2,Rainfed,6.8,12.1,Wheat,110.57
Region_C,Loam,6.29,695.2,27.8,71.8,229.2,Flood,26.0,18.7,Wheat,143.84
Region_B,Sandy,5.66,775.2,17.3,44.4,230.3,Flood,33.1,23.5,Barley,141.01
Region_D,Sandy,7.2,528.7,19.8,33.9,284.3,Drip,33.1,24.1,Barley,155.85
Region_A,Sandy,5.61,364.5,23.9,43.2,148.4,Sprinkler,22.6,15.0,Wheat,91.78
Region_B,Loam,7.45,614.2,18.6,30.5,205.8,Flood,33.1,24.3,Maize,119.64
Region_D,Loam,6.98,1001.4,30.2,82.4,224.4,Flood,7.3,12.3,Maize,138.61
Region_B,Sandy,6.49,873.0,23.3,89.0,56.6,Sprinkler,25.5,8.3,Barley,58.9
Region_A,Clay,7.41,477.4,20.6,83.4,201.0,Flood,23.0,23.9,No_Previous_Crop,120.73
Region_A,Clay,6.1,747.7,27.7,38.9,185.0,Sprinkler,47.0,13.3,Rice,114.58
Region_B,Clay,6.13,1392.9,28.9,50.7,229.8,Drip,38.8,16.2,Barley,169.23
Region_C,Sandy,6.25,1430.6,21.7,53.3,281.8,Drip,20.9,24.8,Barley,192.91
Region_D,Sandy,6.97,1255.1,20.3,75.5,116.5,Rainfed,14.7,20.7,Barley,108.05
Region_B,Loam,7.17,694.4,34.7,35.0,153.8,Drip,14.5,21.8,Maize,96.08
Region_A,Clay,6.53,1057.3,22.9,37.6,90.0,Rainfed,12.6,9.9,Wheat,83.62
Region_D,Sandy,5.94,848.8,29.5,83.0,125.0,Flood,28.8,21.9,No_Previous_Crop,93.45
Region_A,Clay,6.55,1213.5,19.4,35.2,249.0,Drip,10.8,5.2,Maize,166.9
Region_B,Sandy,5.62,938.3,23.7,80.5,299.8,Drip,5.0,8.7,Barley,180.01
Region_A,Loam,6.63,1053.8,16.7,72.3,291.2,Sprinkler,8.2,7.9,Wheat,178.89
Region_D,Sandy,7.29,1067.7,32.8,46.6,247.5,Flood,3.9,16.1,Rice,154.6
Region_A,Sandy,6.6,406.1,28.5,73.8,81.4,Sprinkler,48.0,23.1,No_Previous_Crop,55.26
Region_C,Sandy,6.5,252.5,18.2,70.5,298.4,Sprinkler,39.0,18.6,No_Previous_Crop,157.46
Region_D,Clay,6.17,391.4,26.0,83.4,166.5,Sprinkler,25.7,9.6,No_Previous_Crop,100.34
Region_B,Loam,5.59,1491.7,15.1,70.0,96.5,Sprinkler,10.1,22.6,Barley,83.71
Region_C,Clay,7.43,1444.8,25.9,52.4,159.8,Sprinkler,23.5,11.5,Wheat,135.8
Region_B,Clay,6.38,424.8,16.8,57.7,214.4,Drip,13.5,7.1,No_Previous_Crop,117.49
Region_D,Loam,7.4,823.3,27.8,62.2,264.5,Sprinkler,30.2,6.4,Wheat,161.48
Region_D,Clay,6.86,955.8,28.7,70.8,115.6,Flood,15.4,18.3,No_Previous_Crop,91.4
Region_B,Sandy,6.87,465.4,19.0,31.1,169.5,Drip,14.0,11.8,Maize,106.5
Region_A,Loam,6.25,248.4,33.2,58.7,255.0,Rainfed,26.1,8.8,Rice,149.49
Region_D,Sandy,6.16,1053.9,23.0,63.1,92.6,Flood,9.1,20.3,Rice,80.28
Region_D,Sandy,5.91,564.5,15.9,87.5,151.0,Drip,8.4,15.2,Rice,101.23
Region_B,Loam,5.56,355.1,16.5,83.6,249.7,Rainfed,12.8,16.2,Rice,142.95
Region_C,Sandy,5.71,1492.3,23.3,44.0,59.2,Drip,14.1,16.5,Maize,77.34
Region_D,Loam,6.65,698.9,18.3,80.6,78.0,Flood,5.1,22.2,Maize,64.93
Region_B,Loam,6.68,410.4,34.3,34.5,54.0,Flood,17.5,9.8,No_Previous_Crop,37.78
Region_A,Loam,6.84,763.9,27.1,47.6,157.7,Drip,43.1,11.7,Maize,110.63
Region_C,Clay,7.21,1215.0,28.8,61.1,194.2,Flood,32.0,17.5,Barley,127.89
Region_A,Loam,7.2,427.5,18.2,42.5,127.0,Rainfed,26.4,23.9,Rice,81.34
Region_D,Sandy,6.99,257.2,18.9,85.6,71.5,Flood,49.0,5.3,Rice,41.08
Region_C,Sandy,6.82,1377.0,15.9,85.5,155.7,Rainfed,38.4,21.7,No_Previous_Crop,124.51
Region_D,Clay,6.16,586.6,34.6,68.7,121.5,Rainfed,35.9,20.4,Barley,83.62
Region_D,Loam,7.29,824.9,33.0,76.2,289.1,Rainfed,34.7,15.7,No_Previous_Crop,171.16
Region_A,Loam,5.53,588.0,35.0,46.1,297.5,Flood,34.1,7.2,Maize,170.6
Region_B,Clay,7.41,1064.5,20.1,61.2,235.0,Sprinkler,49.3,9.8,Maize,159.08
Region_B,Sandy,6.91,472.8,18.7,56.3,255.6,Flood,11.4,23.1,Barley,140.24
Region_D,Clay,6.07,1063.6,18.4,85.2,144.1,Rainfed,16.0,21.1,Barley,114.1
Region_C,Loam,6.39,1194.9,23.8,43.8,199.5,Sprinkler,2.2,6.9,Rice,148.03
Region_B,Sandy,6.04,511.3,32.3,90.0,126.4,Sprinkler,2.6,10.1,Rice,95.8
Region_A,Clay,6.84,706.6,33.3,47.7,194.8,Drip,49.6,18.2,Rice,138.23
Region_B,Loam,7.3,457.4,33.2,43.0,70.7,Drip,26.3,21.4,Maize,46.63
Region_A,Sandy,7.21,1274.2,29.4,51.8,204.4,Rainfed,8.0,9.1,Maize,146.75
Region_B,Clay,6.54,263.5,15.6,75.7,212.9,Flood,29.4,22.9,Rice,111.82
Region_B,Clay,6.01,1020.8,33.6,53.8,291.8,Flood,25.9,22.4,Barley,170.72
Region_B,Loam,6.51,369.5,15.1,88.0,82.9,Sprinkler,46.7,15.2,Maize,47.8
Region_B,Clay,7.12,505.4,19.7,40.1,239.7,Flood,4.5,16.5,Barley,143.2
Region_B,Loam,7.37,655.3,26.9,81.4,62.3,Drip,12.4,15.3,Barley,52.47
